0;0.20850663;0.51450483;0.24277334;0.13182555;0.74031765;0.65334541
1;0.74700805;0.62176951;0.89744263;0.38617314;0.43514177;0.42512686
2;0.96756551;0.34157562;0.67214703;0.55536123;0.74027645;0.75222384
3;0.87758752;0.95184152;0.78111349;0.41070262;0.77172742;0.98954979
4;0.73383247;0.89185788;0.29588166;0.63375085;0.66126218;0.00469996
5;0.49296736;0.8888651 ;0.62881492;0.30465767;0.26275178;0.26187445
6;0.92078416;0.02273116;0.72999009;0.28725559;0.65857313;0.46633166
7;0.45714217;0.42964949;0.52588352;0.2543474 ;0.3322893 ;0.31397956
8;0.40460881;0.52111891;0.02954808;0.55956745;0.20392102;0.26885068
9;0.74847427;0.35874137;0.34007935;0.01395626;0.74297893;0.06520886
10;0.91367112;0.47852984;0.82022031;0.27708858;0.72958309;0.22568909
11;0.39370277;0.89751764;0.97546005;0.0019266 ;0.52366812;0.88847396
12;0.26593952;0.05376903;0.67997309;0.68769221;0.62132091;0.55627094
13;0.23550103;0.8498929 ;0.35998826;0.35883737;0.6527639 ;0.14751119
14;0.04744402;0.10749115;0.25811662;0.62854433;0.59133716;0.3185208 
15;0.61770943;0.85231239;0.97975628;0.06535677;0.14224617;0.06836665
16;0.72595852;0.88138667;0.82509884;0.81982066;0.3877873 ;0.38377012
17;0.45912448;0.24926362;0.69884654;0.37459644;0.72088163;0.72470145
18;0.71341428;0.54993743;0.41960308;0.09014594;0.67511785;0.14261895
19;0.86079351;0.39901333;0.09068189;0.29921857;0.89766016;0.70321505
20;0.82303991;0.71987143;0.4992587 ;0.39632127;0.43998841;0.88773323
21;0.77304952;0.08077158;0.63938119;0.41894307;0.3407365 ;0.7218052 
22;0.32946638;0.69526172;0.81758511;0.53491637;0.03318571;0.06951605
23;0.74809852;0.0665552 ;0.86014339;0.74108241;0.95267151;0.16374374
24;0.71178   ;0.95329714;0.08983486;0.48577269;0.39901027;0.00316899
25;0.16392093;0.68962558;0.45243799;0.88659227;0.08353884;0.07292916
26;0.03546212;0.47138301;0.15350182;0.77518292;0.91653271;0.94535109
27;0.028122  ;0.65025618;0.65773441;0.55130893;0.3983976 ;0.4812178 
28;0.83178042;0.68944029;0.49045692;0.37653364;0.26953688;0.36981068
29;0.6935001 ;0.90876251;0.25182492;0.45569951;0.62640151;0.33731819
30;0.62040775;0.6948753 ;0.76344315;0.26895765;0.80564378;0.46777263
31;0.63210538;0.22537575;0.58291038;0.08451876;0.87241998;0.41429784
32;0.1150204 ;0.23295248;0.11467666;0.23838825;0.80348483;0.22520809
33;0.44967073;0.90507785;0.19837217;0.56727845;0.11543769;0.24154926
34;0.75629558;0.59950174;0.30300367;0.96588422;0.79450612;0.43913951
35;0.09096233;0.9448719 ;0.4126488 ;0.51916426;0.58942437;0.50555972
36;0.81684067;0.09498187;0.53731005;0.6590728 ;0.06022222;0.35293017
37;0.38983997;0.53193926;0.24539271;0.27305163;0.46781263;0.50466572
38;0.42126835;0.36045064;0.51319418;0.90345175;0.90947476;0.30399956
